Population Size, Generation Count, Repetition, Best Fitness, Median Fitness
50, 0, 20, 717035, 770214
50, 10, 20, 699749, 707064
50, 20, 20, 672737, 677925
50, 30, 20, 656360, 663404
50, 40, 20, 645388, 650617
50, 50, 20, 633367, 638849
50, 60, 20, 617200, 623936
50, 70, 20, 606754, 610067
50, 80, 20, 593820, 598948
50, 90, 20, 578788, 582995
50, 100, 20, 564586, 568702
50, 110, 20, 551690, 557510
50, 120, 20, 543802, 548037
50, 130, 20, 534284, 537882
50, 140, 20, 518344, 525786
50, 150, 20, 509089, 514771
50, 160, 20, 495320, 506546
50, 170, 20, 489694, 494167
50, 180, 20, 483999, 486690
50, 190, 20, 476315, 480882
50, 200, 20, 472074, 475303
50, 210, 20, 464684, 467976
50, 220, 20, 458161, 463671
50, 230, 20, 454768, 457079
50, 240, 20, 446096, 451949
50, 250, 20, 439618, 443125
50, 260, 20, 433887, 437010
50, 270, 20, 426844, 431457
50, 280, 20, 421464, 426543
50, 290, 20, 416549, 420979
50, 300, 20, 412101, 414388
50, 310, 20, 407425, 411256
50, 320, 20, 404302, 407318
50, 330, 20, 401153, 405412
50, 340, 20, 397751, 401531
50, 350, 20, 393542, 395998
50, 360, 20, 392087, 394298
50, 370, 20, 384092, 389848
50, 380, 20, 382428, 385266
50, 390, 20, 378447, 381660
50, 400, 20, 373529, 377664
50, 410, 20, 371028, 373970
50, 420, 20, 370233, 372344
50, 430, 20, 366915, 369741
50, 440, 20, 363694, 366451
50, 450, 20, 359514, 364312
50, 460, 20, 355901, 359058
50, 470, 20, 352971, 355918
50, 480, 20, 348558, 352661
50, 490, 20, 346049, 349679
50, 500, 20, 344001, 348206
50, 510, 20, 342199, 346327
50, 520, 20, 340399, 342271
50, 530, 20, 335792, 339740
50, 540, 20, 334643, 336946
50, 550, 20, 331708, 334135
50, 560, 20, 328748, 331852
50, 570, 20, 326408, 329497
50, 580, 20, 323053, 325812
50, 590, 20, 321358, 324967
50, 600, 20, 318434, 321214
50, 610, 20, 315308, 318228
50, 620, 20, 313524, 316522
50, 630, 20, 311713, 313885
50, 640, 20, 309064, 311969
50, 650, 20, 307810, 309478
50, 660, 20, 305595, 308234
50, 670, 20, 304431, 307389
50, 680, 20, 301325, 305489
50, 690, 20, 299305, 303503
50, 700, 20, 297612, 302631
50, 710, 20, 294962, 298470
50, 720, 20, 293566, 295527
50, 730, 20, 291988, 295236
50, 740, 20, 291404, 293508
50, 750, 20, 290172, 293141
50, 760, 20, 288296, 291966
50, 770, 20, 285634, 288526
50, 780, 20, 283761, 286008
50, 790, 20, 282454, 286333
50, 800, 20, 280412, 283132
50, 810, 20, 277506, 280443
50, 820, 20, 276285, 278108
50, 830, 20, 275057, 278899
50, 840, 20, 274329, 276287
50, 850, 20, 273017, 276144
50, 860, 20, 272620, 275808
50, 870, 20, 269917, 273413
50, 880, 20, 268471, 271440
50, 890, 20, 267989, 270814
50, 900, 20, 266262, 268121
50, 910, 20, 264378, 267392
50, 920, 20, 263521, 266111
50, 930, 20, 262339, 265390
50, 940, 20, 261978, 262841
50, 950, 20, 261457, 264271
50, 960, 20, 259823, 262690
50, 970, 20, 258787, 261378
50, 980, 20, 257798, 261349
50, 990, 20, 255678, 259342
50, 1000, 20, 254659, 258135
50, 1010, 20, 252510, 254520
50, 1020, 20, 249861, 254638
50, 1030, 20, 249392, 251955
50, 1040, 20, 247768, 251252
50, 1050, 20, 247146, 249084
50, 1060, 20, 245332, 248845
50, 1070, 20, 243072, 246401
50, 1080, 20, 242084, 245991
50, 1090, 20, 239785, 243793
50, 1100, 20, 237983, 241180
50, 1110, 20, 236855, 239152
50, 1120, 20, 236586, 240450
50, 1130, 20, 234058, 237302
50, 1140, 20, 232646, 237380
50, 1150, 20, 232140, 234567
50, 1160, 20, 231432, 234708
50, 1170, 20, 229694, 232018
50, 1180, 20, 227019, 230946
50, 1190, 20, 226707, 227398
50, 1200, 20, 225265, 226936
50, 1210, 20, 224319, 226497
50, 1220, 20, 223704, 226014
50, 1230, 20, 222718, 225678
50, 1240, 20, 222297, 224974
50, 1250, 20, 221459, 224100
50, 1260, 20, 219507, 223591
50, 1270, 20, 218617, 222053
50, 1280, 20, 218078, 220450
50, 1290, 20, 216934, 219897
50, 1300, 20, 215439, 217619
50, 1310, 20, 214628, 216072
50, 1320, 20, 214170, 215731
50, 1330, 20, 211178, 215646
50, 1340, 20, 210510, 213745
50, 1350, 20, 210060, 212326
50, 1360, 20, 208891, 213063
50, 1370, 20, 207734, 211176
50, 1380, 20, 207734, 211197
50, 1390, 20, 206826, 210297
50, 1400, 20, 205838, 210036
50, 1410, 20, 204528, 208240
50, 1420, 20, 202761, 205627
50, 1430, 20, 202549, 205514
50, 1440, 20, 201740, 205189
50, 1450, 20, 200962, 204306
50, 1460, 20, 200423, 202120
50, 1470, 20, 199531, 201235
50, 1480, 20, 199150, 201154
50, 1490, 20, 198131, 200091
50, 1500, 20, 197652, 199320
50, 1510, 20, 196917, 200687
50, 1520, 20, 196763, 200917
50, 1530, 20, 195773, 199607
50, 1540, 20, 194723, 195664
50, 1550, 20, 193480, 195798
50, 1560, 20, 193046, 194873
50, 1570, 20, 192782, 195952
50, 1580, 20, 191920, 196015
50, 1590, 20, 191089, 192952
50, 1600, 20, 190544, 193953
50, 1610, 20, 190222, 192360
50, 1620, 20, 189670, 191317
50, 1630, 20, 188842, 191633
50, 1640, 20, 187511, 190278
50, 1650, 20, 187111, 188214
50, 1660, 20, 186657, 189918
50, 1670, 20, 185467, 187123
50, 1680, 20, 184774, 187910
50, 1690, 20, 184226, 187382
50, 1700, 20, 183962, 186484
50, 1710, 20, 183841, 186585
50, 1720, 20, 182805, 185651
50, 1730, 20, 181709, 184219
50, 1740, 20, 179345, 182857
50, 1750, 20, 179155, 183044
50, 1760, 20, 178068, 179872
50, 1770, 20, 177747, 180277
50, 1780, 20, 177174, 181380
50, 1790, 20, 177128, 178163
50, 1800, 20, 175700, 177191
50, 1810, 20, 175428, 178280
50, 1820, 20, 174406, 179887
50, 1830, 20, 173213, 176083
50, 1840, 20, 172405, 174311
50, 1850, 20, 171882, 174342
50, 1860, 20, 171642, 173768
50, 1870, 20, 171528, 174856
50, 1880, 20, 171160, 174386
50, 1890, 20, 170311, 175316
50, 1900, 20, 170008, 172441
50, 1910, 20, 169267, 173092
50, 1920, 20, 168802, 171997
50, 1930, 20, 168068, 170659
50, 1940, 20, 167508, 170129
50, 1950, 20, 167416, 168897
50, 1960, 20, 166853, 170787
50, 1970, 20, 166588, 169705
50, 1980, 20, 166271, 170016
50, 1990, 20, 165056, 167600
50, 2000, 20, 164519, 166625
50, 2010, 20, 164519, 166000
50, 2020, 20, 164516, 168338
50, 2030, 20, 164038, 167182
50, 2040, 20, 163654, 166911
50, 2050, 20, 162910, 164954
50, 2060, 20, 162831, 166364
50, 2070, 20, 162005, 164472
50, 2080, 20, 161491, 164120
50, 2090, 20, 161103, 163635
50, 2100, 20, 160560, 162915
50, 2110, 20, 160134, 162842
50, 2120, 20, 159784, 161049
50, 2130, 20, 159073, 162224
50, 2140, 20, 158502, 160549
50, 2150, 20, 157400, 159610
50, 2160, 20, 157327, 160307
50, 2170, 20, 157232, 160541
50, 2180, 20, 156588, 161864
50, 2190, 20, 156439, 160344
50, 2200, 20, 156064, 158469
50, 2210, 20, 155454, 158009
50, 2220, 20, 155101, 157866
50, 2230, 20, 154923, 158855
50, 2240, 20, 154876, 157650
50, 2250, 20, 154499, 157567
50, 2260, 20, 154054, 156520
50, 2270, 20, 151588, 154659
50, 2280, 20, 151488, 154189
50, 2290, 20, 150773, 153007
50, 2300, 20, 149902, 150773
50, 2310, 20, 149333, 151271
50, 2320, 20, 148671, 151456
50, 2330, 20, 148671, 151356
50, 2340, 20, 148555, 151388
50, 2350, 20, 147854, 149699
50, 2360, 20, 146962, 149874
50, 2370, 20, 146847, 149068
50, 2380, 20, 146649, 148176
50, 2390, 20, 145425, 148309
50, 2400, 20, 145078, 147299
50, 2410, 20, 144441, 146547
50, 2420, 20, 144368, 146353
50, 2430, 20, 143984, 147427
50, 2440, 20, 143605, 147385
50, 2450, 20, 143305, 144689
50, 2460, 20, 143000, 144470
50, 2470, 20, 142612, 145431
50, 2480, 20, 142239, 144994
50, 2490, 20, 141771, 145529
50, 2500, 20, 141742, 144372
50, 2510, 20, 141742, 143169
50, 2520, 20, 140464, 143128
50, 2530, 20, 140219, 141058
50, 2540, 20, 140082, 144147
50, 2550, 20, 139335, 142394
50, 2560, 20, 139211, 140875
50, 2570, 20, 138925, 143028
50, 2580, 20, 138409, 140057
50, 2590, 20, 137886, 141951
50, 2600, 20, 137060, 139204
50, 2610, 20, 136984, 140628
50, 2620, 20, 136856, 138491
50, 2630, 20, 136505, 137180
50, 2640, 20, 136323, 138021
50, 2650, 20, 136323, 139199
50, 2660, 20, 136197, 137674
50, 2670, 20, 135196, 137909
50, 2680, 20, 134935, 138201
50, 2690, 20, 134781, 137369
50, 2700, 20, 134497, 137650
50, 2710, 20, 134364, 136205
50, 2720, 20, 133856, 135943
50, 2730, 20, 133395, 136196
50, 2740, 20, 133391, 135485
50, 2750, 20, 133138, 135238
50, 2760, 20, 132974, 134566
50, 2770, 20, 132610, 132974
50, 2780, 20, 131442, 133523
50, 2790, 20, 131419, 132312
50, 2800, 20, 131218, 131511
50, 2810, 20, 131218, 133310
50, 2820, 20, 130403, 132504
50, 2830, 20, 130068, 133611
50, 2840, 20, 129810, 132045
50, 2850, 20, 128982, 133486
50, 2860, 20, 128481, 132277
50, 2870, 20, 128369, 130951
50, 2880, 20, 127958, 129862
50, 2890, 20, 127442, 130402
50, 2900, 20, 126150, 129867
50, 2910, 20, 126044, 127207
50, 2920, 20, 125647, 126044
50, 2930, 20, 125553, 127614
50, 2940, 20, 125349, 126674
50, 2950, 20, 125308, 126396
50, 2960, 20, 125297, 126719
50, 2970, 20, 124817, 126067
50, 2980, 20, 124544, 127630
50, 2990, 20, 124544, 128305
50, 3000, 20, 124282, 126799
50, 3010, 20, 124045, 126162
50, 3020, 20, 123789, 126632
50, 3030, 20, 123486, 125747
50, 3040, 20, 123486, 126098
50, 3050, 20, 123486, 127007
50, 3060, 20, 123305, 125377
50, 3070, 20, 122644, 124370
50, 3080, 20, 122454, 124717
50, 3090, 20, 122052, 122969
50, 3100, 20, 121805, 123504
50, 3110, 20, 121616, 124333
50, 3120, 20, 121128, 123080
50, 3130, 20, 121116, 123577
50, 3140, 20, 120733, 123772
50, 3150, 20, 120146, 121625
50, 3160, 20, 119948, 122644
50, 3170, 20, 119948, 122564
50, 3180, 20, 119623, 123120
50, 3190, 20, 119623, 121727
50, 3200, 20, 119105, 122288
50, 3210, 20, 119105, 120664
50, 3220, 20, 118764, 121334
50, 3230, 20, 117867, 118580
50, 3240, 20, 117863, 120263
50, 3250, 20, 117863, 118571
50, 3260, 20, 117428, 119794
50, 3270, 20, 117316, 121489
50, 3280, 20, 117278, 119336
50, 3290, 20, 117210, 118691
50, 3300, 20, 116855, 118549
50, 3310, 20, 116721, 116721
